id,nombre,popularity,artista,pais,genero
278,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",LT,NULL
279,FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,LT,NULL
280,WILDFLOWER,90,Billie Eilish,LT,edu e marco
281,Rodeo (Remix),9,"Lah Pat, Flo Milli",LT,NULL
282,Nepyk Ant Manęs,42,"Jessica Shy, Free Finga",LT,NULL
283,Don't Play by the Rules,3,"D.T.E, PREZIOSO",LT,NULL
284,Patogu,43,Evgenya Redko,LT,NULL
285,Party Jumpin’,2,"Jamie Brown, Marshmello",LT,NULL
286,"Good Luck, Babe!",89,Chappell Roan,LT,synthpop
287,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",LT,NULL
288,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),80,"A$AP Rocky, Imogen Heap, Clams Casino",LT,NULL
289,Riches Wii a Pree,0,"Teejay, Inner Circle",LT,NULL
290,Saugok širdį,42,"Ruta MUR, Leon Somov",LT,NULL
291,Rid Of Me - Live,3,Still Woozy,LT,NULL
292,Lūpų Saldumo,42,"Gabrielius Vagelis, gintė",LT,NULL
293,Babylon - Live,4,Tamino,LT,NULL
294,CHIHIRO,85,Billie Eilish,LT,alt-pop
295,Kreepin,0,"Jay Worthy, DJ.Fresh",LT,NULL
296,Sapnas,42,Norbertas,LT,NULL
297,Времена меняют пути,0,"ДжиАш, VITO",LT,NULL
298,Aš Šalia,41,Šokoledas,LT,NULL
299,04:30,7,"Haze, Mucco",LT,NULL
300,The Days - NOTION Remix,84,"Chrystal, NOTION",LV,NULL
301,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,LV,NULL
302,Die With A Smile,96,"Lady Gaga, Bruno Mars",LV,NULL
303,Hurt,12,OneRepublic,LV,NULL
304,BIRDS OF A FEATHER,93,Billie Eilish,LV,alt-pop
305,Circles,7,SAINt JHN,LV,NULL
306,Sailor Song,89,Gigi Perez,LV,indie folk
307,Passenger Princess,6,"Aminé, Smino",LV,NULL
308,Not Like Us,92,Kendrick Lamar,LV,MySpotigramBot
309,Party Jumpin’,2,"Jamie Brown, Marshmello",LV,NULL
310,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",LV,NULL
311,Она любила музыку,0,"Dima Bilan, Nataliya Vlasova",LV,NULL
312,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),80,"A$AP Rocky, Imogen Heap, Clams Casino",LV,NULL
313,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,LV,NULL
314,Pasarg' dievs,40,"Wiesulis, sangvn",LV,NULL
315,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",LV,NULL
316,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",LV,NULL
317,EA2 (The Beginning of the Era),1,Lil Uzi Vert,LV,NULL
318,Itālija,40,"Wiesulis, sangvn",LV,NULL
319,Don't Play by the Rules,3,"D.T.E, PREZIOSO",LV,NULL
320,WILDFLOWER,90,Billie Eilish,LV,edu e marco
321,Little Window - Live Studio Session,3,FINNEAS,LV,NULL
322,Ko tā?,39,"Wiesulis, sangvn",LV,NULL
323,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",LV,NULL
324,Raķešu Zinātne,39,"Fiņķis, Patrisha",LV,NULL
325,Vivien,1,††† (Crosses),LV,NULL
326,APT.,91,"ROSÉ, Bruno Mars",LV,NULL
327,Rodeo (Remix),9,"Lah Pat, Flo Milli",LV,NULL
328,That’s So True,91,Gracie Abrams,LV,love at first listen
329,Rid Of Me - Live,3,Still Woozy,LV,NULL
330,"Good Luck, Babe!",89,Chappell Roan,LV,synthpop
331,Elixir,1,Tommy Saint,LV,NULL
332,NIGHTS LIKE THIS,82,The Kid LAROI,LV,calm
333,Tuck Your Chain,0,"Money Man, Danny Towers",LV,NULL
334,CHIHIRO,85,Billie Eilish,LV,alt-pop
335,04:30,7,"Haze, Mucco",LV,NULL
336,No Pole,83,Don Toliver,LV,MySpotigramBot
337,BS Korob,0,Кисло-Сладкий & Bonah,LV,NULL
338,Savā Joslā,38,"Wiesulis, sangvn",LV,NULL
339,Riches Wii a Pree,0,"Teejay, Inner Circle",LV,NULL
340,Messy,86,Lola Young,LV,indie rock
