nombre,popularity,artista,pais,genero
Like Him (feat. Lola Young),87,"Tyler, The Creator, Lola Young",ME,NULL
04:30,7,"Haze, Mucco",ME,NULL
Messy,86,Lola Young,ME,NULL
Selfmade Babylon,7,"Bausa, Bozza",ME,NULL
blue,86,yung kai,ME,NULL
Standard,6,"Einar, A36",ME,NULL
Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",ME,NULL
Passenger Princess,5,"Aminé, Smino",ME,NULL
Taste,86,Sabrina Carpenter,ME,NULL
Tussi Code Mari,5,"Marcianeke, Crismj",ME,NULL
Loco,86,Neton Vega,ME,NULL
Pasatiempo,5,"La China, ECKO",ME,NULL
Who,86,Jimin,ME,NULL
Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",ME,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",AL,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,AL,NULL
BIRDS OF A FEATHER,93,Billie Eilish,AL,NULL
Hurt,11,OneRepublic,AL,NULL
Not Like Us,92,Kendrick Lamar,AL,NULL
Seu Astral / Mistérios,12,Fiorella,AL,NULL
That’s So True,92,Gracie Abrams,AL,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,AL,NULL
Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",AL,NULL
Circles,7,SAINt JHN,AL,NULL
APT.,91,"ROSÉ, Bruno Mars",AL,NULL
04:30,7,"Haze, Mucco",AL,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",AL,NULL
Tussi Code Mari,5,"Marcianeke, Crismj",AL,NULL
WILDFLOWER,90,Billie Eilish,AL,NULL
Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",AL,NULL
Sailor Song,89,Gigi Perez,AL,NULL
Babylon - Live,3,Tamino,AL,NULL
"Good Luck, Babe!",89,Chappell Roan,AL,NULL
Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,2,Billie Eilish,AL,NULL
luther (with sza),89,"Kendrick Lamar, SZA",AL,NULL
Little Window - Live Studio Session,3,FINNEAS,AL,NULL
luther (with sza),88,"Kendrick Lamar, SZA",AL,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",AL,NULL
DENIAL IS A RIVER,88,Doechii,AL,NULL
Rid Of Me - Live,3,Still Woozy,AL,NULL
