,nombre,popularity,artista,pais,genero
325,Ballada o Janku Wisniewskim,1,Kazik,NL,rock
326,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",NL,NULL
327,Iré tras de ti,0,Mr.,NL,NULL
328,When I Was Your Man,83,Bruno Mars,NL,pop
329,Il fait chaud,0,Patrick Sébastien,NL,fiesta
330,Shut Up and Dance,80,WALK THE MOON,NL,indie pop
331,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,NL,NULL
332,Grenade,77,Bruno Mars,NL,pop
333,好不好,0,Evan Yo,NL,fabulous boys
334,Timber,80,"Pitbull, Kesha",NL,NULL
335,Thoda Thoda,0,"Shreya Ghoshal, Sachin",NL,NULL
336,Counting Stars,82,OneRepublic,NL,pop rock
337,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,NL,NULL
338,Budapest,78,George Ezra,NL,folk
339,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,NL,NULL
340,Titanium (feat. Sia),77,"David Guetta, Sia",NL,NULL
341,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",NL,NULL
342,Home,63,Dotan,NL,indie
343,My Love a Piece of My Love (feat. Snoop Dogg),0,"Abel The Kid, Julio Iglesias Jr.",NL,NULL
344,Rolling in the Deep,76,Adele,NL,soul
345,Wees Maar Niet Bang,0,Guus Meeuwis,NL,Nederpop
346,Je te laisserai des mots,78,Patrick Watson,NL,french
347,Bede Z Toba - Hangout Live,2,Lemon,NL,NULL
348,I Wanna Be Yours,86,Arctic Monkeys,NL,indie rock
349,"Sing About Me, I'm Dying Of Thirst - Part 1",0,Kendrick Lamar,NL,NULL
